analysis_id,z74qwg9t0g1o89c
mouse_strain,C57BL
parameter_id,IMPC_IMM_073_001
gene_accession_id,MGI:1336200
mouse_life_stage,Late adult
gene_symbol,Hpca
pvalue,0.7627747
parameter_name,cDCs CD11b Type
