parameter_name,Body weight
gene_accession_id,MGI:1914672
parameter_id,M-G-P_009_001_003
analysis_id,y106s45io27wo23
pvalue,0.6766207
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Dhdds
