gene_symbol,Arpc2
mouse_life_stage,Early adult
mouse_strain,129SV
analysis_id,oj853411p5r5xv7
pvalue,0.8705681
parameter_id,IMPC_CSD_051_002
gene_accession_id,MGI:1923959
parameter_name,Hindlimb nail - number
