gene_symbol,Cisd2
gene_accession_id,MGI:1914256
mouse_life_stage,Early adult
parameter_name,Latency to first transition into dark
pvalue,0.5028403
mouse_strain,C57BL
parameter_id,IMPC_LDT_006_001
analysis_id,c1d81062962w02s
