gene_symbol,Jun
analysis_id,n60bavwfug5nmy7
pvalue,0.1577531
parameter_name,Platelet count
mouse_strain,C57BL
gene_accession_id,MGI:96646
parameter_id,IMPC_HEM_008_001
mouse_life_stage,E9.5
