gene_symbol,Atrn
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI2
pvalue,0.847311
analysis_id,8lc4t762004e8qq
parameter_id,IMPC_ACS_034_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1341628
