parameter_id,JAXLA_ECG_002_001
pvalue,0.2080927
gene_accession_id,MGI:1918025
analysis_id,c1f572n6l01j6b1
gene_symbol,Zmynd8
mouse_strain,129SV
parameter_name,HR
mouse_life_stage,Early adult
