parameter_name,Fasted blood glucose concentration
pvalue,0.7069869
mouse_life_stage,Middle aged adult
parameter_id,IMPC_IPG_010_001
gene_symbol,Hpca
mouse_strain,C57BL
analysis_id,9le5gy22u2tsz20
gene_accession_id,MGI:1336200
