parameter_id,IMPC_XRY_007_001
pvalue,0.4217621
mouse_strain,C57BL
gene_symbol,Lime1
mouse_life_stage,Early adult
gene_accession_id,MGI:1919949
analysis_id,k4yf20pfxdn3m7f
parameter_name,Clavicle
