analysis_id,89wv5ggvev5m814
parameter_name,CD8 CD44+CD62L- T cells
gene_accession_id,MGI:109356
parameter_id,IMPC_IMM_032_001
mouse_life_stage,Late adult
pvalue,0.7974681
gene_symbol,Snap23
mouse_strain,C57BL
