analysis_id,762222407aw143i
pvalue,0.9948339
mouse_strain,C57BL
gene_symbol,Tubb4b
parameter_name,Heart weight
parameter_id,HMGULA_HWT_008_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1915472
