gene_symbol,Ahcy
pvalue,0.5466127
mouse_life_stage,E12.5
parameter_id,MGP_MLN_031_001
mouse_strain,C57BL
gene_accession_id,MGI:87968
parameter_name,Total NK cells - % of CD45+
analysis_id,6qo81v6w9cdtlw4
