analysis_id,g2sf20g836n106r
parameter_name,CV
parameter_id,IMPC_ECG_003_001
gene_accession_id,MGI:3522699
mouse_life_stage,Early adult
pvalue,0.1334497
gene_symbol,Trpa1
mouse_strain,C57BL
