gene_symbol,Arpc2
gene_accession_id,MGI:1923959
mouse_strain,C57BL
parameter_id,JAX_OFD_021_001
analysis_id,wjhjyykr62uez96
parameter_name,Number of rears - total
mouse_life_stage,Early adult
pvalue,0.495611
