analysis_id,eh0vv0g0m890z21
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
pvalue,0.9532304
mouse_strain,C57BL
gene_symbol,Tubb4b
parameter_id,IMPC_XRY_021_001
parameter_name,Humerus
