analysis_id,irven79y3234vw6
gene_symbol,Sprr1b
parameter_name,LVIDd
parameter_id,IMPC_ECH_008_001
gene_accession_id,MGI:106659
pvalue,0.6866421
mouse_life_stage,Early adult
mouse_strain,C57BL
