parameter_name,Phosphorus
parameter_id,IMPC_CBC_010_001
pvalue,0.4627997
analysis_id,9vpr2jvz478ql74
gene_symbol,Npbwr1
gene_accession_id,MGI:891989
mouse_strain,C57BL
mouse_life_stage,Early adult
