parameter_name,Embryo Size
parameter_id,IMPC_GEL_032_001
analysis_id,hfm99ie4r2ilfb1
gene_symbol,Ints7
mouse_strain,C57BL
gene_accession_id,MGI:1924315
pvalue,0.9004123
mouse_life_stage,Early adult
