parameter_name,White blood cell-count
parameter_id,M-G-P_016_001_001
mouse_strain,C57BL
gene_symbol,Col6a3
mouse_life_stage,Early adult
pvalue,0.6281422
analysis_id,z8735l6cey9353q
gene_accession_id,MGI:88461
