parameter_name,Ventral coat/hair presence
pvalue,0.1158141
analysis_id,871lz19idt0u21z
mouse_strain,C57BL
gene_symbol,Bmi1
mouse_life_stage,E15.5
gene_accession_id,MGI:88174
parameter_id,MGP_CSD_025_001
