analysis_id,70257bi54v42115
gene_accession_id,MGI:1914836
gene_symbol,Ubxn11
parameter_id,JAX_OFD_020_001
pvalue,0.6409048
mouse_life_stage,Early adult
parameter_name,Distance travelled - total
mouse_strain,C57BL
