analysis_id,n59m582654svz0d
parameter_name,MZB (CD21/35 high)
gene_accession_id,MGI:1923959
mouse_strain,C57BL
parameter_id,IMPC_IMM_071_001
gene_symbol,Arpc2
pvalue,0.1010721
mouse_life_stage,Early adult
