analysis_id,0yap93sv4l080m0
parameter_name,Percentage center time
parameter_id,IMPC_OFD_022_001
mouse_strain,C57BL
gene_symbol,Cntfr
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
pvalue,0.9775745
