parameter_name,Center average speed
parameter_id,JAXLA_OFD_017_001
analysis_id,vqyc58j1ck1bm8o
gene_accession_id,MGI:3522699
mouse_life_stage,Early adult
gene_symbol,Trpa1
pvalue,0.129806
mouse_strain,C57BL
