gene_symbol,Lpgat1
parameter_name,Total NK cells - % of CD45+
analysis_id,wm5o9883dp7y40z
pvalue,0.1434227
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_id,MGP_IMM_033_001
gene_accession_id,MGI:2446186
