analysis_id,ku3hge5mlpo4u74
pvalue,0.3905282
gene_accession_id,MGI:2444114
parameter_name,Total T cell percentage
mouse_life_stage,Early adult
gene_symbol,Zcchc2
mouse_strain,C57BL
parameter_id,MGP_PBI_001_001
