analysis_id,9b3d44838w4933h
mouse_life_stage,Early adult
gene_accession_id,MGI:3033992
mouse_strain,C57BL
pvalue,0.6557259
parameter_id,IMPC_ABR_004_001
parameter_name,6kHz-evoked ABR Threshold
gene_symbol,Cldn19
