parameter_name,Placenta Morphology
pvalue,0.3560275
mouse_strain,C57BL
parameter_id,IMPC_GPO_002_001
analysis_id,84f7j04e3j58y2f
gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
mouse_life_stage,E9.5
