analysis_id,4xt220y5l7075l8
parameter_name,Heart weight
pvalue,0.4767731
mouse_life_stage,Early adult
gene_symbol,Tbl1xr1
parameter_id,HMGULA_HWT_008_001
mouse_strain,C57BL
gene_accession_id,MGI:2441730
