analysis_id,76jmk74r9ucs926
mouse_strain,C57BL
pvalue,0.8359594
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
mouse_life_stage,E9.5
parameter_id,MGP_IMM_017_001
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
