parameter_name,Monocyte percentage
mouse_strain,C57BL
parameter_id,MGP_PBI_016_001
analysis_id,8fzk1jsoy75k15o
mouse_life_stage,Early adult
gene_accession_id,MGI:97054
pvalue,0.3474416
gene_symbol,Mov10
