analysis_id,1xh62x4w59343ge
gene_accession_id,MGI:2385884
parameter_name,Radius
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_022_001
gene_symbol,Ddx27
mouse_strain,129SV
pvalue,0.9432354
