parameter_name,HR
gene_accession_id,MGI:2446274
parameter_id,JAXLA_ECG_002_001
mouse_strain,C57BL
analysis_id,6g37v7vg8fr279q
mouse_life_stage,Early adult
gene_symbol,Frmpd1
pvalue,0.5437343
