analysis_id,63owhaj15sc7y43
gene_accession_id,MGI:1336200
parameter_id,MGP_IMM_081_001
pvalue,0.5666679
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Hpca
