analysis_id,521jsq08vb69q8o
parameter_name,Coat - hair distribution - back
gene_symbol,Tubb4b
mouse_life_stage,Early adult
pvalue,0.8097223
mouse_strain,C57BL
gene_accession_id,MGI:1915472
parameter_id,IMPC_CSD_011_001
