gene_symbol,Rap2b
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
parameter_id,MGP_MLN_005_001
gene_accession_id,MGI:1921262
pvalue,0.4421807
mouse_life_stage,Early adult
analysis_id,2qqw7857l9z40t8
