analysis_id,3r24k2e4ov1bo7d
gene_symbol,Cds2
parameter_name,Cornea vascularisation
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
parameter_id,ESLIM_014_001_008
mouse_strain,C57BL
pvalue,0.9756763
