analysis_id,f0a92i8230a61e6
parameter_name,Respiration Rate
gene_accession_id,MGI:2441730
mouse_life_stage,Early adult
gene_symbol,Tbl1xr1
pvalue,0.5260288
mouse_strain,C57BL
parameter_id,IMPC_ECH_018_001
