analysis_id,68w6605wd437aw0
mouse_strain,C57BL
parameter_id,IMPC_ECG_028_001
gene_accession_id,MGI:2446186
mouse_life_stage,Early adult
pvalue,0.460982
gene_symbol,Lpgat1
parameter_name,QT
