gene_symbol,Kifap3
analysis_id,hsnomxqf23oxai5
gene_accession_id,MGI:107566
mouse_strain,C57BL
pvalue,0.6404446
parameter_name,QT
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_028_001
