analysis_id,1cx037r57eb8aj8
parameter_id,IMPC_EYE_026_001
parameter_name,Retinal Blood Vessels Pattern
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1034516
gene_accession_id,MGI:1914672
gene_symbol,Dhdds
