parameter_id,ESLIM_011_001_703
mouse_strain,C57BL
gene_accession_id,MGI:1276578
gene_symbol,Gfi1b
mouse_life_stage,Early adult
pvalue,0.1648684
parameter_name,Prepulse inhibition - PP3
analysis_id,gt5eih6b78689xl
