analysis_id,h1359p9232xr904
parameter_id,ICS_FEA_019_001
parameter_name,% Freezing duration pre-cue-2
pvalue,0.3037206
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
