parameter_id,M-G-P_005_001_004
parameter_name,Bone Mineral Density (excluding skull)
pvalue,0.5081041
analysis_id,ihp63kyqge132e3
mouse_strain,C57BL
gene_symbol,Pld1
gene_accession_id,MGI:109585
mouse_life_stage,Early adult
