parameter_name,Aggression
parameter_id,IMPC_CSD_079_001
analysis_id,23308eh1e716088
gene_symbol,Bmi1
gene_accession_id,MGI:88174
pvalue,0.7079759
mouse_strain,C57BL
mouse_life_stage,E12.5
