gene_symbol,Atg4c
analysis_id,65t9tdx54qi98g0
parameter_name,Resting CD8+ T cells - % of CD8+
parameter_id,MGP_IMM_015_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8912093
gene_accession_id,MGI:2651854
