analysis_id,05229y608067ou6
mouse_life_stage,Early adult
parameter_name,Cue Baseline % Freezing Time
gene_symbol,Gfi1b
mouse_strain,C57BL
pvalue,0.6632441
parameter_id,HRWLLA_FEA_015_001
gene_accession_id,MGI:1276578
