mouse_life_stage,Middle aged adult
analysis_id,r2c958ba89h23iz
gene_accession_id,MGI:1917604
mouse_strain,C57BL
parameter_id,MGP_MLN_072_001
parameter_name,KLRG1+ Treg cells - % of CD45+
pvalue,0.9026484
gene_symbol,Secisbp2l
