analysis_id,lqm4d6b3sccqeb2
mouse_life_stage,Early adult
pvalue,0.9700767
gene_symbol,Lamb3
mouse_strain,C57BL
gene_accession_id,MGI:99915
parameter_name,Hindlimbs - size
parameter_id,JAXLA_CSD_022_001
