parameter_id,IMPC_HEM_006_001
pvalue,0.3984418
mouse_strain,129SV
gene_symbol,Ddx27
parameter_name,Mean corpuscular hemoglobin
analysis_id,s2fgf90594i27oh
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
