gene_symbol,Morn5
mouse_strain,C57BL
gene_accession_id,MGI:1922745
analysis_id,94x8my5tf9czpgr
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_012_001
parameter_name,30kHz-evoked ABR Threshold
pvalue,0.7409732
