parameter_name,Mean-corpuscular-haemoglobin
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,4d886rwh27780t7
parameter_id,M-G-P_016_001_006
gene_accession_id,MGI:1924315
gene_symbol,Ints7
pvalue,0.1722252
