analysis_id,51t1it1286dmm82
mouse_life_stage,Early adult
gene_symbol,Cds2
pvalue,0.9559207
mouse_strain,129SV
gene_accession_id,MGI:1332236
parameter_name,CD8 CD44-CD62L+ T cells
parameter_id,IMPC_IMM_034_001
