gene_symbol,Ncaph
analysis_id,05cy92ihfbf8pu8
gene_accession_id,MGI:2444777
mouse_strain,C57BL
pvalue,0.2232284
parameter_id,IMPC_DXA_010_001
parameter_name,Bone Area
mouse_life_stage,Early adult
