parameter_id,MGP_BMI_014_001
mouse_strain,C57BL
gene_symbol,Trdmt1
analysis_id,46m3nw9586pzep9
pvalue,0.3660236
gene_accession_id,MGI:1274787
mouse_life_stage,Early adult
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
