analysis_id,7k5045832rd4jr0
parameter_name,MZB (CD21/35 high)
mouse_strain,C57BL
parameter_id,IMPC_IMM_071_001
gene_accession_id,MGI:3033992
pvalue,0.4154062
gene_symbol,Cldn19
mouse_life_stage,Early adult
