parameter_name,Neutrophil cell count
gene_accession_id,MGI:88174
pvalue,0.2896046
gene_symbol,Bmi1
mouse_strain,C57BL
parameter_id,IMPC_HEM_030_001
mouse_life_stage,Early adult
analysis_id,3967nq494z09wlu
