analysis_id,w7bh0r6rly21405
gene_accession_id,MGI:88174
parameter_id,IMPC_CBC_014_001
parameter_name,Alkaline phosphatase
mouse_strain,C57BL
gene_symbol,Bmi1
pvalue,0.4838765
mouse_life_stage,E12.5
