analysis_id,rv71s1h2mbvo341
pvalue,0.06371429
gene_accession_id,MGI:1917810
mouse_strain,C57BL
parameter_id,MGP_MLN_032_001
parameter_name,Effector NK cells - % of NK cells
mouse_life_stage,Early adult
gene_symbol,Wars2
