gene_symbol,Pum1
analysis_id,roxd9x7d0c89145
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.360824
parameter_name,CD8+ alpha beta T cell percentage
parameter_id,MGP_PBI_004_001
gene_accession_id,MGI:1931749
