mouse_life_stage,E15.5
gene_symbol,Mecom
analysis_id,gdguu3wq09k6728
gene_accession_id,MGI:95457
parameter_id,HMGULA_SHI_009_001
parameter_name,Startle response
pvalue,0.3128664
mouse_strain,C57BL
