analysis_id,r3b4i7mr6qp4o5w
gene_symbol,Exd1
parameter_id,MGP_IMM_028_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8537632
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
gene_accession_id,MGI:3045306
