gene_symbol,Slc30a4
pvalue,0.3459498
parameter_id,MGP_PBI_009_001
analysis_id,1w4xsp8am9vu6de
gene_accession_id,MGI:1345282
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
