analysis_id,476e9h6ylg0u96q
parameter_id,IMPC_EYE_004_001
gene_symbol,Ap5s1
parameter_name,Eyelid morphology
pvalue,0.2144906
mouse_life_stage,Early adult
gene_accession_id,MGI:1916846
mouse_strain,C52BL
